OrderID,Product,Category,Quantity,Price,CustomerID,Birthdate,OrderDate,Country
1,역사책,Books,5,37000,1071,1980-08-08,2024-06-10 17:18,미국
2,셔츠,Clothing,5,20000,1526,1967-08-09,2023-11-18 18:45,독일
3,노트북,Electronics,4,8000,1252,1973-04-07,2023-10-15 11:19,중국
4,자전거,Sports,1,8000,1670,1970-04-08,2024-07-19 2:19,일본
5,헤드폰,Electronics,3,26000,1838,1992-05-19,2024-01-20 20:34,대한민국
6,셔츠,Clothing,5,8000,1049,1970-01-29,2024-01-09 8:49,대한민국
7,향수,Beauty,1,20000,1093,1989-11-25,2023-12-31 16:07,일본
8,립스틱,Beauty,3,15000,1500,1998-09-11,2023-11-29 0:49,일본
9,비즈니스,Books,3,5000,1810,1976-09-04,2024-07-18 5:56,일본
10,샴푸,Beauty,2,17000,1914,1996-01-31,2023-11-14 15:35,중국
11,과학책,Books,5,14000,1616,1989-08-12,2024-06-24 1:58,일본
12,스마트폰,Electronics,4,38000,1248,1987-12-27,2024-07-19 17:12,미국
13,화장품,Beauty,1,49000,1034,1969-05-13,2024-09-16 17:13,중국
14,비즈니스,Books,3,5000,1719,1983-03-22,2024-05-04 23:49,독일
15,스마트폰,Electronics,2,18000,1206,1972-11-15,2023-11-08 4:25,미국
16,축구공,Sports,3,16000,1146,1964-09-26,2024-05-22 19:18,일본
17,과자,Food,3,12000,1943,1997-05-11,2024-03-17 20:30,중국
18,축구공,Sports,2,29000,1271,2004-04-06,2023-10-18 1:49,중국
19,축구공,Sports,1,9000,1398,1998-12-13,2023-10-17 5:35,중국
20,과자,Food,1,14000,1418,1990-03-25,2023-11-11 20:59,중국
21,주스,Food,5,21000,1078,1992-09-29,2023-12-29 17:54,중국
22,과학책,Books,3,27000,1437,1971-02-16,2024-01-04 11:13,대한민국
23,립스틱,Beauty,3,44000,1429,1980-01-31,2024-04-19 8:42,미국
24,헤드폰,Electronics,4,31000,1793,1971-06-25,2024-05-26 20:19,미국
25,노트북,Electronics,3,50000,1982,1998-12-05,2023-10-16 10:11,미국
26,자전거,Sports,5,7000,1156,1978-01-08,2024-05-10 12:22,일본
27,과자,Food,2,23000,1221,1990-05-14,2023-12-22 1:33,일본
28,라면,Food,3,47000,1038,1992-05-04,2024-07-10 1:30,미국
29,스마트워치,Electronics,4,10000,1264,1974-03-31,2024-06-14 1:43,미국
30,자전거,Sports,4,5000,1668,1978-04-10,2024-07-04 2:03,미국
31,운동화,Sports,3,30000,1410,1976-11-28,2024-05-04 19:18,중국
32,역사책,Books,3,50000,1329,1976-07-27,2024-03-16 2:19,일본
33,초콜릿,Food,5,47000,1007,1999-04-27,2023-12-30 12:13,일본
